Score : 0.78826916 | data/js/programs_50/file1082.js : 1421 - 1425 | ID:getAttribute | unknown
Score : 0.71743596 | data/js/programs_50/file1082.js : 3274 - 3274 | ID:length | unknown
Score : 0.71743596 | data/js/programs_50/file1082.js : 6501 - 6501 | ID:length | unknown
Score : 0.71743596 | data/js/programs_50/file1082.js : 6701 - 6701 | ID:length | unknown
Score : 0.7088485 | data/js/programs_50/file1082.js : 2040 - 2045 | ID:length | unknown
Score : 0.7088485 | data/js/programs_50/file1082.js : 2875 - 2875 | ID:length | unknown
Score : 0.70351136 | data/js/programs_50/file1082.js : 1283 - 1287 | ID:compareDocumentPosition | unknown
Score : 0.6968681 | data/js/programs_50/file1082.js : 4947 - 4948 | ID:querySelectorAll | unknown
Score : 0.6924753 | data/js/programs_50/file1082.js : 7581 - 7581 | LIT:margin | string
Score : 0.66781557 | data/js/programs_50/file1082.js : 5688 - 5688 | LIT:border | string
Score : 0.6571058 | data/js/programs_50/file1082.js : 5763 - 5763 | LIT:border | string
Score : 0.656126 | data/js/programs_50/file1082.js : 1654 - 1654 | LIT:nextSibling | string
Score : 0.6480961 | data/js/programs_50/file1082.js : 2451 - 2451 | LIT:0 | number
Score : 0.6480961 | data/js/programs_50/file1082.js : 6590 - 6591 | LIT:0 | number
Score : 0.6393767 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:2 | number
Score : 0.6345773 | data/js/programs_50/file1082.js : 694 - 700 | ID:escaped | unknown
Score : 0.6251737 | data/js/programs_50/file1082.js : 1987 - 1987 | LIT:0 | number
Score : 0.6251737 | data/js/programs_50/file1082.js : 6140 - 6140 | LIT:0 | number
Score : 0.6198412 | data/js/programs_50/file1082.js : 4233 - 4233 | LIT:2 | number
Score : 0.6117037 | data/js/programs_50/file1082.js : 5688 - 5692 | LIT:4 | number
Score : 0.5979793 | data/js/programs_50/file1082.js : 3568 - 3569 | ID:cache | unknown
Score : 0.59658927 | data/js/programs_50/file1082.js : 6046 - 6048 | ID:style | unknown
Score : 0.5941519 | data/js/programs_50/file1082.js : 4205 - 4205 | ID:split | unknown
Score : 0.5941519 | data/js/programs_50/file1082.js : 6012 - 6012 | ID:split | unknown
Score : 0.588092 | data/js/programs_50/file1082.js : 6591 - 6591 | ID:speeds | unknown
Score : 0.58744645 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:3 | number
Score : 0.5827816 | data/js/programs_50/file1082.js : 2279 - 2279 | LIT:* | string
Score : 0.57845646 | data/js/programs_50/file1082.js : 2169 - 2169 | ID:preFilter | unknown
Score : 0.5744313 | data/js/programs_50/file1082.js : 38 - 38 | ID:window | unknown
Score : 0.568278 | data/js/programs_50/file1082.js : 1244 - 1244 | ID:documentElement | unknown
Score : 0.5677314 | data/js/programs_50/file1082.js : 7308 - 7310 | ID:max | unknown
Score : 0.5657525 | data/js/programs_50/file1082.js : 2244 - 2244 | LIT:1 | number
Score : 0.5656476 | data/js/programs_50/file1082.js : 4078 - 4078 | ID:delegateType | unknown
Score : 0.5656476 | data/js/programs_50/file1082.js : 4158 - 4158 | ID:delegateType | unknown
Score : 0.5656264 | data/js/programs_50/file1082.js : 7606 - 7611 | ID:css | unknown
Score : 0.5582661 | data/js/programs_50/file1082.js : 7612 - 7612 | ID:margin | unknown
Score : 0.5575296 | data/js/programs_50/file1082.js : 1328 - 1331 | LIT:1 | number
Score : 0.5575296 | data/js/programs_50/file1082.js : 1359 - 1360 | LIT:1 | number
Score : 0.5573086 | data/js/programs_50/file1082.js : 7102 - 7104 | ID:replace | unknown
Score : 0.5573086 | data/js/programs_50/file1082.js : 7144 - 7146 | ID:replace | unknown
Score : 0.5559587 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:1 | number
Score : 0.5559587 | data/js/programs_50/file1082.js : 6257 - 6257 | LIT:1 | number
Score : 0.5559587 | data/js/programs_50/file1082.js : 6404 - 6404 | LIT:1 | number
Score : 0.5522684 | data/js/programs_50/file1082.js : 2042 - 2045 | ID:error | unknown
Score : 0.5516059 | data/js/programs_50/file1082.js : 3686 - 3691 | LIT:false | boolean
Score : 0.55129373 | data/js/programs_50/file1082.js : 3352 - 3352 | ID:readyWait | unknown
