Score : 0.2679177 | data/js/programs_50/file1082.js : 1825 - 1827 | ID:lang | unknown
Score : 0.3010847 | data/js/programs_50/file1082.js : 6637 - 6639 | ID:each | unknown
Score : 0.30983564 | data/js/programs_50/file1082.js : 7374 - 7374 | LIT:on | string
Score : 0.36424232 | data/js/programs_50/file1082.js : 6737 - 6739 | ID:apply | unknown
Score : 0.37413815 | data/js/programs_50/file1082.js : 3221 - 3221 | ID:extend | unknown
Score : 0.37653878 | data/js/programs_50/file1082.js : 1748 - 1760 | ID:markFunction | unknown
Score : 0.37653878 | data/js/programs_50/file1082.js : 1777 - 1794 | ID:markFunction | unknown
Score : 0.37653878 | data/js/programs_50/file1082.js : 2388 - 2390 | ID:markFunction | unknown
Score : 0.376809 | data/js/programs_50/file1082.js : 4056 - 4057 | ID:apply | unknown
Score : 0.37826914 | data/js/programs_50/file1082.js : 7391 - 7393 | ID:on | unknown
Score : 0.37957 | data/js/programs_50/file1082.js : 2226 - 2228 | ID:splice | unknown
Score : 0.38797092 | data/js/programs_50/file1082.js : 5137 - 5143 | ID:text | unknown
Score : 0.39390546 | data/js/programs_50/file1082.js : 2548 - 2551 | ID:toLowerCase | unknown
Score : 0.40325123 | data/js/programs_50/file1108.js : 82 - 82 | LIT: | string
Score : 0.40643433 | data/js/programs_50/file1082.js : 2216 - 2216 | ID:call | unknown
Score : 0.4149536 | data/js/programs_50/file1082.js : 6583 - 6588 | ID:extend | unknown
Score : 0.41823563 | data/js/programs_50/file1082.js : 402 - 402 | LIT: | string
Score : 0.41823563 | data/js/programs_50/file1082.js : 7284 - 7284 | LIT: | string
Score : 0.42050582 | data/js/programs_50/file1082.js : 696 - 700 | ID:fromCharCode | unknown
Score : 0.42106593 | data/js/programs_50/file1082.js : 3461 - 3463 | ID:call | unknown
Score : 0.4242013 | data/js/programs_50/file1082.js : 2887 - 2887 | ID:elem | unknown
Score : 0.426878 | data/js/programs_50/file1082.js : 7254 - 7254 | LIT: | string
Score : 0.42819843 | data/js/programs_50/file1082.js : 6195 - 6195 | LIT: | string
Score : 0.43174228 | data/js/programs_50/file1082.js : 6977 - 6979 | ID:toLowerCase | unknown
Score : 0.43491533 | data/js/programs_50/file1082.js : 3211 - 3211 | ID:promise | unknown
Score : 0.43491533 | data/js/programs_50/file1082.js : 3249 - 3249 | ID:promise | unknown
Score : 0.4393129 | data/js/programs_50/file1082.js : 7041 - 7043 | ID:tabIndex | unknown
Score : 0.4430503 | data/js/programs_50/file1082.js : 5418 - 5422 | ID:display | unknown
Score : 0.44577235 | data/js/programs_50/file1108.js : 834 - 834 | ID:converter | unknown
Score : 0.4461496 | data/js/programs_50/file1082.js : 3283 - 3283 | ID:call | unknown
Score : 0.448458 | data/js/programs_50/file1082.js : 7174 - 7174 | ID:addClass | unknown
Score : 0.45471886 | data/js/programs_50/file1082.js : 7211 - 7211 | LIT: | string
Score : 0.45725256 | data/js/programs_50/file1082.js : 5803 - 5803 | ID:display | unknown
Score : 0.45971572 | data/js/programs_50/file1082.js : 25 - 32 | ID:factory | unknown
Score : 0.46347684 | data/js/programs_50/file1082.js : 6059 - 6059 | ID:show | unknown
Score : 0.4639484 | data/js/programs_50/file1082.js : 7474 - 7474 | LIT: | string
Score : 0.46987486 | data/js/programs_50/file1082.js : 3603 - 3603 | ID:value | unknown
Score : 0.47310543 | data/js/programs_50/file1082.js : 6911 - 6913 | ID:undefined | undefined
Score : 0.47648796 | data/js/programs_50/file1082.js : 2549 - 2551 | ID:value | unknown
Score : 0.47815183 | data/js/programs_50/file1082.js : 6087 - 6087 | LIT: | string
Score : 0.47973883 | data/js/programs_50/file1082.js : 6092 - 6094 | ID:get | unknown
Score : 0.4894033 | data/js/programs_50/file1082.js : 1353 - 1360 | ID:siblingCheck | unknown
Score : 0.49045676 | data/js/programs_50/file1082.js : 7523 - 7529 | LIT:null | null
Score : 0.4909479 | data/js/programs_50/file1082.js : 1419 - 1425 | ID:val | unknown
Score : 0.49392742 | data/js/programs_50/file1082.js : 5730 - 5730 | ID:offsetWidth | unknown
Score : 0.4972751 | data/js/programs_50/file1082.js : 7525 - 7529 | ID:map | unknown
Score : 0.49774793 | data/js/programs_50/file1082.js : 7306 - 7306 | LIT:null | null
Score : 0.49804294 | data/js/programs_50/file1082.js : 4520 - 4520 | ID:filter | unknown
Score : 0.49966013 | data/js/programs_50/file1082.js : 5222 - 5222 | ID:dataAndEvents | unknown
Score : 0.50192934 | data/js/programs_50/file1082.js : 7510 - 7510 | ID:makeArray | unknown
Score : 0.5032752 | data/js/programs_50/file1082.js : 7474 - 7474 | ID:value | unknown
Score : 0.50375676 | data/js/programs_50/file1082.js : 4875 - 4875 | ID:content | unknown
Score : 0.50722194 | data/js/programs_50/file1082.js : 6356 - 6356 | LIT:hide | string
Score : 0.50912225 | data/js/programs_50/file1082.js : 5183 - 5183 | ID:filter | unknown
Score : 0.5107838 | data/js/programs_50/file1082.js : 3155 - 3155 | ID:slice | unknown
Score : 0.511005 | data/js/programs_50/file1082.js : 3687 - 3691 | LIT:null | null
Score : 0.5135132 | data/js/programs_50/file1082.js : 4448 - 4448 | ID:charCode | unknown
Score : 0.5136677 | data/js/programs_50/file1082.js : 4946 - 4948 | ID:getElementsByTagName | unknown
Score : 0.5146685 | data/js/programs_50/file1082.js : 3452 - 3452 | ID:value | unknown
Score : 0.5153502 | data/js/programs_50/file1082.js : 3457 - 3463 | ID:elems | unknown
Score : 0.5155177 | data/js/programs_50/file1082.js : 1423 - 1425 | ID:value | unknown
Score : 0.517575 | data/js/programs_50/file1082.js : 2705 - 2705 | ID:context | unknown
Score : 0.5194427 | data/js/programs_50/file1107.js : 473 - 475 | ID:query | unknown
Score : 0.5284761 | data/js/programs_50/file1107.js : 507 - 509 | ID:handles | unknown
Score : 0.53275186 | data/js/programs_50/file1082.js : 5692 - 5692 | LIT:1 | number
Score : 0.5329064 | data/js/programs_50/file1082.js : 1415 - 1417 | ID:fn | unknown
Score : 0.53765184 | data/js/programs_50/file1082.js : 2307 - 2307 | LIT:1 | number
