<<<<<<< HEAD
Score : 0.48331207 | data/js/programs_50/file1082.js : 7620 - 7620 | ID:length | unknown
Score : 0.45755613 | data/js/programs_50/file1082.js : 2973 - 2973 | ID:pushStack | unknown
Score : 0.44419342 | data/js/programs_50/file1082.js : 2866 - 2866 | ID:pushStack | unknown
Score : 0.4432997 | data/js/programs_50/file1088.js : 119 - 119 | LIT:= | string
Score : 0.42310715 | data/js/programs_50/file1082.js : 4792 - 4792 | ID:on | unknown
Score : 0.41687623 | data/js/programs_50/file1082.js : 597 - 597 | LIT:0 | number
Score : 0.4098699 | data/js/programs_50/file1082.js : 1531 - 1531 | ID:slice | unknown
Score : 0.39002663 | data/js/programs_50/file1082.js : 7355 - 7355 | ID:values | unknown
Score : 0.38493758 | data/js/programs_50/file1082.js : 770 - 770 | ID:results | unknown
Score : 0.32345235 | data/js/programs_50/file1082.js : 5157 - 5162 | ID:domManip | unknown
Score : 0.28887314 | data/js/programs_50/file1082.js : 2892 - 2896 | ID:pushStack | unknown
Score : 0.2857083 | data/js/programs_50/file1082.js : 1591 - 1591 | ID:slice | unknown
Score : 0.28304654 | data/js/programs_50/file1082.js : 1115 - 1115 | ID:getElementsByTagName | unknown
Score : 0.28120098 | data/js/programs_50/file1082.js : 1493 - 1493 | ID:nodeValue | unknown
Score : 0.27559233 | data/js/programs_50/file1082.js : 2651 - 2651 | ID:pushStack | unknown
Score : 0.27538878 | data/js/programs_50/file1082.js : 4434 - 4434 | ID:handlerQueue | unknown
Score : 0.27417922 | data/js/programs_50/file1082.js : 5097 - 5097 | ID:fragment | unknown
Score : 0.26611918 | data/js/programs_50/file1082.js : 4695 - 4695 | ID:ret | unknown
Score : 0.26383585 | data/js/programs_50/file1082.js : 2417 - 2417 | ID:cached | unknown
Score : 0.2635365 | data/js/programs_50/file1082.js : 919 - 919 | ID:diff | unknown
Score : 0.26065922 | data/js/programs_50/file1082.js : 161 - 161 | ID:pushStack | unknown
Score : 0.26059705 | data/js/programs_50/file1082.js : 1367 - 1367 | ID:Sizzle | unknown
Score : 0.25974563 | data/js/programs_50/file1082.js : 7327 - 7327 | ID:value | unknown
Score : 0.25899917 | data/js/programs_50/file1082.js : 4388 - 4388 | ID:result | unknown
Score : 0.25083292 | data/js/programs_50/file1082.js : 438 - 438 | ID:first | unknown
Score : 0.25070605 | data/js/programs_50/file1082.js : 2810 - 2810 | ID:matched | unknown
Score : 0.25038543 | data/js/programs_50/file1082.js : 7124 - 7124 | LIT:this | object
Score : 0.24805877 | data/js/programs_50/file1082.js : 2900 - 2902 | ID:add | unknown
Score : 0.24740905 | data/js/programs_50/file1082.js : 3559 - 3559 | ID:cache | unknown
Score : 0.24183679 | data/js/programs_50/file1082.js : 2591 - 2593 | ID:grep | unknown
Score : 0.2397592 | data/js/programs_50/file1082.js : 130 - 130 | ID:ret | unknown
Score : 0.23753798 | data/js/programs_50/file1082.js : 2654 - 2654 | ID:pushStack | unknown
Score : 0.23017383 | data/js/programs_50/file1082.js : 5470 - 5470 | ID:getComputedStyle | unknown
Score : 0.2285994 | data/js/programs_50/file1082.js : 3117 - 3117 | LIT:this | object
Score : 0.22608146 | data/js/programs_50/file1082.js : 6131 - 6131 | ID:elem | unknown
Score : 0.2234275 | data/js/programs_50/file1082.js : 2445 - 2445 | ID:results | unknown
Score : 0.21241242 | data/js/programs_50/file1082.js : 2426 - 2426 | ID:results | unknown
Score : 0.20924187 | data/js/programs_50/file1082.js : 141 - 143 | ID:pushStack | unknown
Score : 0.2061851 | data/js/programs_50/file1082.js : 6982 - 6982 | ID:ret | unknown
Score : 0.20217767 | data/js/programs_50/file1082.js : 5920 - 5920 | ID:style | unknown
Score : 0.19797942 | data/js/programs_50/file1082.js : 858 - 858 | ID:cache | unknown
Score : 0.19455248 | data/js/programs_50/file1082.js : 1497 - 1497 | ID:ret | unknown
Score : 0.18931592 | data/js/programs_50/file1136.js : 361 - 361 | LIT:this | object
Score : 0.18931583 | data/js/programs_50/file1114.js : 10 - 10 | LIT:this | object
Score : 0.1859684 | data/js/programs_50/file1082.js : 7567 - 7569 | ID:length | unknown
Score : 0.18494722 | data/js/programs_50/file1132.js : 136 - 136 | ID:server | unknown
Score : 0.18363065 | data/js/programs_50/file1082.js : 777 - 777 | ID:results | unknown
Score : 0.18281904 | data/js/programs_50/file1082.js : 6279 - 6279 | ID:tween | unknown
Score : 0.18174982 | data/js/programs_50/file1082.js : 7335 - 7335 | ID:values | unknown
Score : 0.18143639 | data/js/programs_50/file1082.js : 2521 - 2521 | ID:getAttribute | unknown
Score : 0.1797032 | data/js/programs_50/file1108.js : 714 - 714 | ID:originalValue | unknown
Score : 0.17742425 | data/js/programs_50/file1082.js : 2583 - 2586 | ID:grep | unknown
Score : 0.17620972 | data/js/programs_50/file1082.js : 4804 - 4804 | LIT:this | object
Score : 0.17452478 | data/js/programs_50/file1082.js : 5955 - 5955 | ID:val | unknown
Score : 0.17373306 | data/js/programs_50/file1108.js : 804 - 804 | LIT:this | object
Score : 0.16985258 | data/js/programs_50/file1082.js : 4477 - 4477 | ID:event | unknown
Score : 0.16695368 | data/js/programs_50/file1082.js : 1404 - 1404 | ID:contains | unknown
Score : 0.16206938 | data/js/programs_50/file1082.js : 2926 - 2926 | ID:sibling | unknown
Score : 0.1602051 | data/js/programs_50/file1082.js : 961 - 975 | ID:markFunction | unknown
Score : 0.15778482 | data/js/programs_50/file1082.js : 1901 - 1901 | ID:test | unknown
Score : 0.15689266 | data/js/programs_50/file1082.js : 2831 - 2838 | ID:filter | unknown
Score : 0.15597782 | data/js/programs_50/file1082.js : 1273 - 1273 | LIT:0 | number
Score : 0.15597782 | data/js/programs_50/file1082.js : 3504 - 3504 | LIT:0 | number
Score : 0.15581357 | data/js/programs_50/file1082.js : 2471 - 2471 | ID:results | unknown
Score : 0.15395868 | data/js/programs_50/file1108.js : 74 - 74 | ID:str | unknown
Score : 0.15335807 | data/js/programs_50/file1082.js : 2055 - 2055 | ID:selector | unknown
Score : 0.15257797 | data/js/programs_50/file1082.js : 3191 - 3191 | ID:state | unknown
Score : 0.15008733 | data/js/programs_50/file1108.js : 540 - 540 | ID:item | unknown
Score : 0.14967084 | data/js/programs_50/file1082.js : 5236 - 5236 | ID:innerHTML | unknown
Score : 0.14844757 | data/js/programs_50/file1082.js : 5287 - 5287 | ID:remove | unknown
Score : 0.14768714 | data/js/programs_50/file1082.js : 5723 - 5723 | ID:val | unknown
Score : 0.14480376 | data/js/programs_50/file1082.js : 87 - 87 | ID:toUpperCase | unknown
Score : 0.14261585 | data/js/programs_50/file1088.js : 102 - 102 | LIT:x | string
Score : 0.1412246 | data/js/programs_50/file1082.js : 6546 - 6549 | ID:always | unknown
Score : 0.13703418 | data/js/programs_50/file1136.js : 277 - 277 | LIT:this | object
Score : 0.13050804 | data/js/programs_50/file1082.js : 2599 - 2599 | ID:filter | unknown
Score : 0.12921381 | data/js/programs_50/file1088.js : 86 - 86 | LIT:o | string
Score : 0.12755737 | data/js/programs_50/file1082.js : 5994 - 5995 | ID:swap | unknown
Score : 0.12682888 | data/js/programs_50/file1082.js : 3752 - 3752 | ID:data | unknown
Score : 0.12613934 | data/js/programs_50/file1082.js : 1485 - 1485 | ID:textContent | unknown
Score : 0.12555629 | data/js/programs_50/file1082.js : 1945 - 1945 | ID:matchIndexes | unknown
Score : 0.12223542 | data/js/programs_50/file1082.js : 2917 - 2917 | ID:dir | unknown
Score : 0.12155211 | data/js/programs_50/file1082.js : 2068 - 2068 | ID:matcher | unknown
Score : 0.119788855 | data/js/programs_50/file1108.js : 181 - 181 | ID:tag | unknown
Score : 0.119788855 | data/js/programs_50/file1108.js : 195 - 195 | ID:tag | unknown
Score : 0.11704847 | data/js/programs_50/file1082.js : 1953 - 1953 | ID:matchIndexes | unknown
Score : 0.11704847 | data/js/programs_50/file1082.js : 1961 - 1961 | ID:matchIndexes | unknown
Score : 0.11642 | data/js/programs_50/file1082.js : 5428 - 5428 | ID:display | unknown
Score : 0.113699734 | data/js/programs_50/file1108.js : 809 - 809 | ID:value | unknown
Score : 0.11369431 | data/js/programs_50/file1132.js : 110 - 110 | ID:data | unknown
Score : 0.1128571 | data/js/programs_50/file1082.js : 1313 - 1313 | LIT:0 | number
Score : 0.11267471 | data/js/programs_50/file1082.js : 2778 - 2778 | ID:makeArray | unknown
Score : 0.112475276 | data/js/programs_50/file1082.js : 2822 - 2822 | ID:matched | unknown
Score : 0.109858155 | data/js/programs_50/file1082.js : 6118 - 6118 | LIT:this | object
Score : 0.10880792 | data/js/programs_50/file1082.js : 4012 - 4012 | ID:activeElement | unknown
Score : 0.10771868 | data/js/programs_50/file1082.js : 3776 - 3776 | ID:data | unknown
Score : 0.10522735 | data/js/programs_50/file1082.js : 5746 - 5746 | ID:val | unknown
Score : 0.10376307 | data/js/programs_50/file1082.js : 6267 - 6267 | ID:attrs | unknown
Score : 0.10356724 | data/js/programs_50/file1082.js : 2920 - 2920 | ID:dir | unknown
Score : 0.10292119 | data/js/programs_50/file1082.js : 5199 - 5199 | LIT:this | object
Score : 0.101593435 | data/js/programs_50/file1082.js : 2923 - 2923 | ID:sibling | unknown
Score : 0.10015553 | data/js/programs_50/file1082.js : 5148 - 5153 | ID:domManip | unknown
Score : 0.099171996 | data/js/programs_50/file1082.js : 5166 - 5170 | ID:domManip | unknown
Score : 0.09483081 | data/js/programs_50/file1082.js : 2632 - 2638 | ID:pushStack | unknown
Score : 0.09214854 | data/js/programs_50/file1132.js : 109 - 119 | ID:then | unknown
Score : 0.09179512 | data/js/programs_50/file1082.js : 1014 - 1014 | ID:document | unknown
Score : 0.088089556 | data/js/programs_50/file1082.js : 5676 - 5676 | ID:origName | unknown
Score : 0.08757973 | data/js/programs_50/file1108.js : 256 - 256 | ID:tags | unknown
Score : 0.08673447 | data/js/programs_50/file1082.js : 6905 - 6905 | ID:ret | unknown
Score : 0.08637202 | data/js/programs_50/file1082.js : 2490 - 2490 | ID:results | unknown
Score : 0.08455476 | data/js/programs_50/file1082.js : 1759 - 1759 | ID:fn | unknown
Score : 0.081498116 | data/js/programs_50/file1082.js : 2648 - 2648 | ID:ret | unknown
Score : 0.07587707 | data/js/programs_50/file1082.js : 151 - 151 | ID:eq | unknown
Score : 0.07408857 | data/js/programs_50/file1108.js : 259 - 259 | ID:text | unknown
Score : 0.06955856 | data/js/programs_50/file1082.js : 6527 - 6527 | ID:result | unknown
Score : 0.068571985 | data/js/programs_50/file1082.js : 237 - 237 | ID:target | unknown
Score : 0.06413531 | data/js/programs_50/file1082.js : 2938 - 2938 | ID:dir | unknown
Score : 0.060743988 | data/js/programs_50/file1082.js : 6019 - 6019 | ID:expanded | unknown
Score : 0.060459852 | data/js/programs_50/file1082.js : 147 - 147 | ID:pushStack | unknown
Score : 0.060459852 | data/js/programs_50/file1082.js : 5400 - 5400 | ID:pushStack | unknown
Score : 0.05913976 | data/js/programs_50/file1082.js : 7504 - 7504 | ID:param | unknown
Score : 0.05871743 | data/js/programs_50/file1108.js : 445 - 447 | ID:filter | unknown
Score : 0.05824402 | data/js/programs_50/file1136.js : 346 - 346 | ID:parse | unknown
Score : 0.05503604 | data/js/programs_50/file1082.js : 6495 - 6495 | ID:tween | unknown
Score : 0.054305553 | data/js/programs_50/file1082.js : 767 - 767 | ID:results | unknown
Score : 0.053074837 | data/js/programs_50/file1082.js : 1897 - 1897 | ID:test | unknown
Score : 0.05103618 | data/js/programs_50/file1108.js : 810 - 810 | ID:parseInt | unknown
=======
Score : 0.9937635 | data/js/programs_50/file1082.js : 7308 - 7310 | ID:max | unknown
Score : 0.99363077 | data/js/programs_50/file1082.js : 1328 - 1331 | LIT:1 | number
