Score : 0.047856808 | data/js/programs_50/file1082.js : 6237 - 6237 | ID:tween | unknown
Score : 0.046777427 | data/js/programs_50/file1082.js : 2556 - 2556 | ID:Sizzle | unknown
Score : 0.04543665 | data/js/programs_50/file1082.js : 2762 - 2762 | LIT:this | object
Score : 0.044941783 | data/js/programs_50/file1082.js : 7540 - 7540 | LIT:null | null
Score : 0.04213214 | data/js/programs_50/file1082.js : 1298 - 1298 | LIT:1 | number
Score : 0.03949651 | data/js/programs_50/file1082.js : 3925 - 3925 | ID:queue | unknown
Score : 0.039180815 | data/js/programs_50/file1082.js : 6815 - 6820 | ID:queue | unknown
Score : 0.031032443 | data/js/programs_50/file1108.js : 262 - 262 | ID:options | unknown
Score : 0.029777527 | data/js/programs_50/file1088.js : 69 - 69 | LIT:x | string
Score : 0.029777467 | data/js/programs_50/file1088.js : 55 - 55 | LIT:x | string
Score : 0.027499825 | data/js/programs_50/file1082.js : 7637 - 7637 | ID:jQuery | unknown
Score : 0.027446747 | data/js/programs_50/file1082.js : 155 - 155 | ID:eq | unknown
Score : 0.027417302 | data/js/programs_50/file1108.js : 568 - 568 | ID:added | unknown
Score : 0.02617091 | data/js/programs_50/file1082.js : 3145 - 3145 | LIT:this | object
Score : 0.01942718 | data/js/programs_50/file1082.js : 7673 - 7673 | ID:jQuery | unknown
Score : 0.019319117 | data/js/programs_50/file1082.js : 2941 - 2941 | ID:sibling | unknown
Score : 0.014829367 | data/js/programs_50/file1082.js : 4483 - 4483 | ID:event | unknown
Score : 0.012266517 | data/js/programs_50/file1082.js : 7245 - 7245 | ID:ret | unknown
Score : 0.011751711 | data/js/programs_50/file1082.js : 1612 - 1612 | ID:test | unknown
Score : 0.009295434 | data/js/programs_50/file1082.js : 4774 - 4774 | LIT:this | object
Score : 0.0077569485 | data/js/programs_50/file1082.js : 3533 - 3533 | ID:unlock | unknown
Score : 0.0039782524 | data/js/programs_50/file1082.js : 784 - 784 | ID:results | unknown
Score : 0.0026456118 | data/js/programs_50/file1082.js : 789 - 789 | ID:results | unknown
Score : 0.0 | data/js/programs_50/file1082.js : 1462 - 1462 | ID:results | unknown
Score : 0.0 | data/js/programs_50/file1082.js : 2153 - 2236 | ID:markFunction | unknown
Score : 0.0 | data/js/programs_50/file1082.js : 3133 - 3133 | LIT:this | object
Score : 0.0 | data/js/programs_50/file1088.js : 58 - 58 | LIT:o | string
Score : 0.0 | data/js/programs_50/file1088.js : 73 - 73 | LIT:o | string
Score : 0.0 | data/js/programs_50/file1088.js : 82 - 82 | LIT:x | string
Score : 0.0 | data/js/programs_50/file1088.js : 98 - 98 | LIT:o | string
Score : 0.0 | data/js/programs_50/file1098.js : 16 - 16 | ID:el | unknown
Score : 0.0 | data/js/programs_50/file1107.js : 122 - 122 | ID:ret | unknown
Score : 0.0 | data/js/programs_50/file1107.js : 564 - 564 | ID:handle | unknown
Score : 0.0 | data/js/programs_50/file1107.js : 657 - 657 | ID:handle | unknown
Score : 0.0 | data/js/programs_50/file1107.js : 829 - 829 | ID:_on | unknown
Score : 0.0 | data/js/programs_50/file1109.js : 11 - 11 | LIT:false | boolean
Score : 0.0 | data/js/programs_50/file1114.js : 23 - 23 | LIT:this | object
Score : 0.0 | data/js/programs_50/file1114.js : 111 - 111 | LIT:true | boolean
Score : 0.0 | data/js/programs_50/file1124.js : 7 - 7 | ID:href | unknown
Score : 0.0 | data/js/programs_50/file1128.js : 102 - 102 | ID:$scope | unknown
Score : 0.0 | data/js/programs_50/file1132.js : 121 - 121 | ID:response | unknown
Score : 0.0 | data/js/programs_50/file1136.js : 263 - 263 | LIT:true | boolean
Score : -0.00048848987 | data/js/programs_50/file1082.js : 4558 - 4558 | ID:nodeName | unknown
Score : -0.0050851703 | data/js/programs_50/file1082.js : 7583 - 7612 | ID:access | unknown
Score : -0.0057394505 | data/js/programs_50/file1082.js : 1937 - 1937 | ID:matchIndexes | unknown
Score : -0.007247925 | data/js/programs_50/file1082.js : 6880 - 6880 | ID:prop | unknown
Score : -0.009800434 | data/js/programs_50/file1082.js : 5672 - 5672 | ID:name | unknown
Score : -0.011607051 | data/js/programs_50/file1082.js : 617 - 617 | ID:i | unknown
Score : -0.012130916 | data/js/programs_50/file1088.js : 37 - 37 | ID:coords | unknown
Score : -0.012702465 | data/js/programs_50/file1108.js : 327 - 327 | ID:tag | unknown
Score : -0.017081201 | data/js/programs_50/file1082.js : 7599 - 7603 | ID:max | unknown
Score : -0.018326253 | data/js/programs_50/file1082.js : 5217 - 5217 | LIT:this | object
Score : -0.019238085 | data/js/programs_50/file1082.js : 6517 - 6517 | LIT:this | object
Score : -0.022894144 | data/js/programs_50/file1088.js : 132 - 132 | ID:s | unknown
Score : -0.022975922 | data/js/programs_50/file1082.js : 6901 - 6901 | ID:value | unknown
Score : -0.023669481 | data/js/programs_50/file1082.js : 745 - 745 | ID:results | unknown
Score : -0.02601713 | data/js/programs_50/file1082.js : 1763 - 1763 | ID:fn | unknown
Score : -0.026341379 | data/js/programs_50/file1108.js : 250 - 250 | ID:add | unknown
Score : -0.026467562 | data/js/programs_50/file1082.js : 1363 - 1363 | ID:doc | unknown
Score : -0.027032971 | data/js/programs_50/file1082.js : 4329 - 4329 | ID:result | unknown
Score : -0.029278636 | data/js/programs_50/file1082.js : 4834 - 4834 | ID:trigger | unknown
Score : -0.030555189 | data/js/programs_50/file1082.js : 3162 - 3162 | LIT:this | object
Score : -0.031019092 | data/js/programs_50/file1082.js : 4885 - 4885 | ID:elem | unknown
Score : -0.031032443 | data/js/programs_50/file1108.js : 774 - 774 | LIT:this | object
Score : -0.031629503 | data/js/programs_50/file1082.js : 1134 - 1134 | ID:results | unknown
Score : -0.031873077 | data/js/programs_50/file1082.js : 305 - 305 | LIT:true | boolean
Score : -0.032037854 | data/js/programs_50/file1082.js : 2908 - 2908 | ID:cur | unknown
Score : -0.033535063 | data/js/programs_50/file1082.js : 1391 - 1391 | ID:ret | unknown
Score : -0.036615968 | data/js/programs_50/file1082.js : 7403 - 7403 | ID:on | unknown
Score : -0.03742063 | data/js/programs_50/file1082.js : 963 - 974 | ID:markFunction | unknown
Score : -0.04037988 | data/js/programs_50/file1082.js : 6476 - 6476 | ID:remaining | unknown
Score : -0.043031156 | data/js/programs_50/file1108.js : 510 - 510 | ID:self | unknown
Score : -0.043120712 | data/js/programs_50/file1082.js : 2745 - 2745 | LIT:this | object
Score : -0.04546213 | data/js/programs_50/file1082.js : 5373 - 5373 | LIT:this | object
Score : -0.047212362 | data/js/programs_50/file1082.js : 3700 - 3700 | ID:data | unknown
Score : -0.048848182 | data/js/programs_50/file1082.js : 867 - 867 | ID:fn | unknown
Score : -0.050116837 | data/js/programs_50/file1082.js : 3195 - 3195 | LIT:this | object
Score : -0.051034093 | data/js/programs_50/file1082.js : 1335 - 1335 | ID:siblingCheck | unknown
Score : -0.05249071 | data/js/programs_50/file1114.js : 107 - 107 | LIT:false | boolean
Score : -0.052975476 | data/js/programs_50/file1082.js : 826 - 826 | ID:results | unknown
Score : -0.053616285 | data/js/programs_50/file1082.js : 880 - 880 | LIT:false | boolean
Score : -0.05495426 | data/js/programs_50/file1082.js : 398 - 398 | ID:obj | unknown
Score : -0.055307508 | data/js/programs_50/file1108.js : 155 - 155 | ID:add | unknown
Score : -0.055990636 | data/js/programs_50/file1082.js : 1140 - 1140 | ID:getElementsByClassName | unknown
Score : -0.05824405 | data/js/programs_50/file1136.js : 185 - 185 | LIT:this | object
Score : -0.058416605 | data/js/programs_50/file1082.js : 2605 - 2607 | ID:grep | unknown
Score : -0.05874294 | data/js/programs_50/file1108.js : 43 - 43 | LIT:this | object
Score : -0.060599566 | data/js/programs_50/file1082.js : 2687 - 2687 | LIT:this | object
Score : -0.060656697 | data/js/programs_50/file1107.js : 833 - 833 | ID:_on | unknown
Score : -0.062524915 | data/js/programs_50/file1082.js : 5174 - 5178 | ID:domManip | unknown
Score : -0.06308198 | data/js/programs_50/file1082.js : 7507 - 7530 | ID:get | unknown
Score : -0.06578946 | data/js/programs_50/file1108.js : 175 - 175 | ID:tag | unknown
Score : -0.06749338 | data/js/programs_50/file1082.js : 4782 - 4782 | ID:apply | unknown
Score : -0.07059282 | data/js/programs_50/file1082.js : 490 - 490 | ID:apply | unknown
Score : -0.07755047 | data/js/programs_50/file1082.js : 838 - 838 | ID:select | unknown
Score : -0.07868695 | data/js/programs_50/file1082.js : 1563 - 1563 | ID:match | unknown
Score : -0.08518982 | data/js/programs_50/file1082.js : 2944 - 2944 | ID:sibling | unknown
Score : -0.08710992 | data/js/programs_50/file1082.js : 5230 - 5265 | ID:access | unknown
Score : -0.09161317 | data/js/programs_50/file1082.js : 6043 - 6043 | ID:map | unknown
Score : -0.0922007 | data/js/programs_50/file1082.js : 7167 - 7167 | LIT:this | object
Score : -0.095983714 | data/js/programs_50/file1082.js : 6503 - 6503 | LIT:this | object
Score : -0.09679729 | data/js/programs_50/file1082.js : 3328 - 3328 | LIT:this | object
Score : -0.09745842 | data/js/programs_50/file1082.js : 6965 - 6965 | ID:name | unknown
Score : -0.098614275 | data/js/programs_50/file1082.js : 3128 - 3128 | LIT:this | object
Score : -0.09875381 | data/js/programs_50/file1082.js : 2755 - 2755 | ID:find | unknown
Score : -0.099007666 | data/js/programs_50/file1132.js : 60 - 137 | ID:then | unknown
Score : -0.099007666 | data/js/programs_50/file1132.js : 64 - 70 | ID:then | unknown
Score : -0.10135454 | data/js/programs_50/file1082.js : 6949 - 6949 | ID:value | unknown
Score : -0.10354155 | data/js/programs_50/file1082.js : 2932 - 2932 | ID:dir | unknown
Score : -0.10490751 | data/js/programs_50/file1107.js : 482 - 482 | ID:handle | unknown
Score : -0.105137944 | data/js/programs_50/file1082.js : 2750 - 2750 | ID:find | unknown
Score : -0.111739635 | data/js/programs_50/file1108.js : 198 - 198 | ID:self | unknown
